94,520,387,553,222,777,531,411,1015,517,758,198,334,880,1014,544,1048,995,880,489,444,657,955,206,345,435,474,769,771,948,500
779,824,591,922,965,720,352,88,947,756,864,375,386,726,717,194,764,306,921,600,697,715,810,90,912,776,794,582,831,369,88
243,895,341,159,93,995,317,701,499,858,943,782,423,403,59,154,446,601,682,676,137,1007,809,893,1019,429,984,361,997,492,679
376,590,591,171,135,982,594,886,168,692,711,757,983,1030,359,726,439,74,798,977,125,323,882,830,626,150,565,1039,343,214,689
408,820,708,627,84,105,403,203,994,777,1019,483,160,244,60,390,510,340,806,436,998,962,262,811,274,641,475,999,559,83,466
221,953,644,815,708,463,412,677,590,601,536,648,94,655,403,344,889,427,73,649,74,401,252,721,537,334,787,106,1052,471,991
953,841,180,520,781,946,701,536,860,474,363,670,866,567,362,669,988,504,653,302,572,609,851,356,277,61,897,662,1042,755,248
538,146,396,576,640,367,556,501,253,511,671,633,849,851,334,642,851,62,210,525,675,591,345,91,232,243,710,1011,244,868,941
209,564,255,687,325,108,381,699,415,939,928,486,922,195,897,469,934,1051,375,704,74,752,610,529,945,442,128,765,653,563,56
922,914,741,454,842,308,476,55,638,235,338,141,479,670,810,885,985,222,207,774,242,1029,382,421,745,478,608,487,602,494,565
198,113,771,806,192,476,332,1049,740,582,602,490,919,1002,246,248,350,469,339,158,541,335,508,787,167,754,369,724,839,316,366
408,238,106,965,861,885,998,366,809,374,611,699,1035,534,197,249,275,182,214,588,503,226,519,97,712,345,492,306,77,207,563
798,702,239,366,527,75,221,71,840,958,1011,444,255,678,530,467,367,877,387,927,425,212,886,123,540,350,571,230,826,323,816
721,245,1038,155,533,266,680,855,152,580,678,596,977,76,1025,114,234,56,485,558,646,778,84,545,195,275,339,117,953,240,413
466,1027,323,223,288,886,764,813,949,720,338,603,193,747,748,677,72,178,629,747,711,355,424,519,731,646,904,537,71,517,172
205,853,140,113,979,63,810,223,368,629,280,96,811,217,162,935,139,618,540,630,527,678,680,682,981,476,573,955,1015,176,649
790,314,248,578,317,313,255,169,83,379,64,824,464,600,206,573,843,977,241,816,993,904,715,882,953,766,1011,631,418,60,530
253,111,492,356,813,410,377,530,161,166,940,854,903,513,481,1046,437,458,593,164,757,888,409,125,403,876,538,609,269,679,410
579,410,390,324,922,414,949,75,670,165,770,749,638,94,476,182,282,618,612,985,349,908,106,1015,637,787,707,1025,510,422,585
1016,660,536,964,688,120,901,728,991,276,195,807,564,794,228,512,878,274,923,679,987,258,836,903,451,332,754,246,787,690,587
609,1046,229,758,1015,601,934,353,466,694,908,908,195,515,664,930,477,731,805,496,349,726,93,366,928,125,871,663,70,985,165
748,222,884,93,541,738,143,550,642,1043,198,406,367,704,793,97,311,388,812,245,658,317,234,556,882,828,661,345,1050,602,609
