108,534,401,567,236,791,545,425,1029,531,772,212,348,894,1028,558,1062,1009,894,503,458,671,969,220,359,449,488,783,785,962,514
793,838,605,936,979,734,366,102,961,770,878,389,400,740,731,208,778,320,935,614,711,729,824,104,926,790,808,596,845,383,102
257,909,355,173,107,1009,331,715,513,872,957,796,437,417,73,168,460,615,696,690,151,1021,823,907,1033,443,998,375,1011,506,693
390,604,605,185,149,996,608,900,182,706,725,771,997,1044,373,740,453,88,812,991,139,337,896,844,640,164,579,1053,357,228,703
422,834,722,641,98,119,417,217,1008,791,1033,497,174,258,74,404,524,354,820,450,1012,976,276,825,288,655,489,1013,573,97,480
235,967,658,829,722,477,426,691,604,615,550,662,108,669,417,358,903,441,87,663,88,415,266,735,551,348,801,120,1066,485,1005
967,855,194,534,795,960,715,550,874,488,377,684,880,581,376,683,1002,518,667,316,586,623,865,370,291,75,911,676,1056,769,262
552,160,410,590,654,381,570,515,267,525,685,647,863,865,348,656,865,76,224,539,689,605,359,105,246,257,724,1025,258,882,955
223,578,269,701,339,122,395,713,429,953,942,500,936,209,911,483,948,1065,389,718,88,766,624,543,959,456,142,779,667,577,70
936,928,755,468,856,322,490,69,652,249,352,155,493,684,824,899,999,236,221,788,256,1043,396,435,759,492,622,501,616,508,579
212,127,785,820,206,490,346,1063,754,596,616,504,933,1016,260,262,364,483,353,172,555,349,522,801,181,768,383,738,853,330,380
422,252,120,979,875,899,1012,380,823,388,625,713,1049,548,211,263,289,196,228,602,517,240,533,111,726,359,506,320,91,221,577
812,716,253,380,541,89,235,85,854,972,1025,458,269,692,544,481,381,891,401,941,439,226,900,137,554,364,585,244,840,337,830
735,259,1052,169,547,280,694,869,166,594,692,610,991,90,1039,128,248,70,499,572,660,792,98,559,209,289,353,131,967,254,427
480,1041,337,237,302,900,778,827,963,734,352,617,207,761,762,691,86,192,643,761,725,369,438,533,745,660,918,551,85,531,186
219,867,154,127,993,77,824,237,382,643,294,110,825,231,176,949,153,632,554,644,541,692,694,696,995,490,587,969,1029,190,663
804,328,262,592,331,327,269,183,97,393,78,838,478,614,220,587,857,991,255,830,1007,918,729,896,967,780,1025,645,432,74,544
267,125,506,370,827,424,391,544,175,180,954,868,917,527,495,1060,451,472,607,178,771,902,423,139,417,890,552,623,283,693,424
593,424,404,338,936,428,963,89,684,179,784,763,652,108,490,196,296,632,626,999,363,922,120,1029,651,801,721,1039,524,436,599
1030,674,550,978,702,134,915,742,1005,290,209,821,578,808,242,526,892,288,937,693,1001,272,850,917,465,346,768,260,801,704,601
623,1060,243,772,1029,615,948,367,480,708,922,922,209,529,678,944,491,745,819,510,363,740,107,380,942,139,885,677,84,999,179
762,236,898,107,555,752,157,564,656,1057,212,420,381,718,807,111,325,402,826,259,672,331,248,570,896,842,675,359,1064,616,623
628,694,534,608,196,307,880,241,668,144,282,750,280,1059,891,668,459,826,737,495,94,151,142,853,565,1037,354,914,671,570,288
730,773,430,77,238,556,307,231,609,686,980,658,771,885,299,817,272,1042,606,370,489,165,314,651,715,1038,931,980,142,612,779
613,745,836,329,586,1052,356,1011,932,607,312,575,385,937,668,390,199,539,219,154,637,830,968,170,490,594,667,1036,82,632,95
610,414,155,1010,704,476,530,116,748,655,409,675,127,288,825,1021,955,213,757,1016,910,497,687,815,134,603,850,102,293,252,105
920,696,291,815,990,426,324,833,1011,1022,385,793,478,92,422,68,616,563,651,582,1031,409,142,980,209,263,1015,139,493,673,240
